#,"Country,Other",TotalCases,NewCases,TotalDeaths,NewDeaths,TotalRecovered,NewRecovered,ActiveCases,"Serious,Critical",Tot Cases/1M pop,Deaths/1M pop,TotalTests,Tests/1M pop,Population
164,Guinea-Bissau,"2,510",,45 ,,"2,405",,60,5,"1,259",23,"39,578","19,850","1,993,813 "
165,Liechtenstein,"2,432",,52 ,,"2,322",,58,6,"63,682","1,362","23,431","613,538","38,190 "
166,New Zealand,"2,276",,25 ,,"2,178",,73,,455,5,"1,480,691","296,014","5,002,100 "
167,Comoros,"2,160",,63 ,,"1,298",,799,,"2,455",72,,,"879,898 "
168,Yemen,"2,118",,614 ,,"1,423",,81,23,70,20,"17,404",576,"30,190,918 "
169,Eritrea,"1,940",,6 ,,"1,304",,630,,543,2,"23,693","6,630","3,573,844 "
170,Liberia,"1,912",,84 ,,"1,714",,114,2,373,16,"62,180","12,136","5,123,656 "
171,Sint Maarten,"1,724",,27 ,,"1,564",,133,1,"39,956",626,"13,533","313,641","43,148 "
172,Mongolia,"1,611",+19,2 ,,"1,125",+28,484,9,487,0.6,"937,735","283,497","3,307,741 "
173,Vietnam,"1,548",,35 ,,"1,411",,102,,16,0.4,"1,431,631","14,634","97,829,462 "
174,Burundi,"1,380",,2 ,,773,,605,,114,0.2,"90,019","7,448","12,086,450 "
175,Monaco,"1,311",,9 ,,"1,078",,224,8,"33,276",228,"51,953","1,318,671","39,398 "
176,Turks and Caicos,"1,193",,7 ,,954,,232,6,"30,582",179,"12,955","332,094","39,010 "
177,Sao Tome and Principe,"1,182",,17 ,,996,,169,,"5,338",77,"7,498","33,862","221,426 "
178,Barbados,"1,156",,9 ,,493,,654,1,"4,020",31,"93,070","323,640","287,573 "
179,Saint Martin,"1,146",,12 ,,"1,006",,128,7,"29,359",307,"12,433","318,517","39,034 "
180,Seychelles,972,,3 ,,681,,288,,"9,849",30,"5,200","52,691","98,689 "
181,Taiwan,884,+3,7 ,,783,+6,94,,37,0.3,"143,747","6,029","23,841,044 "
182,Bhutan,851,,1 ,,679,,171,,"1,096",1,"411,833","530,464","776,364 "
183,Papua New Guinea,835,,9 ,,790,,36,,92,1.0,"40,697","4,501","9,041,386 "
184,Saint Lucia,755,,10 ,,412,,333,1,"4,101",54,"22,768","123,673","184,099 "
185,St. Vincent Grenadines,720,+30,2 ,,134,+8,584,2,"6,478",18,"24,866","223,740","111,138 "
186,Diamond Princess,712,,13 ,,699,,0,,,,,, 
187,Bermuda,684,,12 ,,625,,47,6,"11,006",193,"159,226","2,562,045","62,148 "
188,Faeroe Islands,652,,1 ,,644,,7,,"13,315",20,"217,483","4,441,420","48,967 "
189,Mauritius,556,,10 ,,518,,28,,437,8,"289,552","227,464","1,272,956 "
190,Tanzania,509,,21 ,,183,,305,7,8,0.3,,,"60,675,156 "
191,Cambodia,456,, ,,403,+4,53,,27,,"384,988","22,850","16,848,241 "
192,Isle of Man,432,,25 ,,357,,50,1,"5,065",293,"26,311","308,503","85,286 "
193,Cayman Islands,382,,2 ,,346,,34,1,"5,774",30,"65,729","993,576","66,154 "
194,Caribbean Netherlands,360,,3 ,,244,,113,,"13,657",114,"5,145","195,182","26,360 "
195,St. Barth,300,,1 ,,204,,95,,"30,321",101,"8,518","860,926","9,894 "
196,Antigua and Barbuda,195,,6 ,,162,,27,1,"1,982",61,"8,200","83,347","98,384 "
197,Brunei ,175,,3 ,,169,,3,,398,7,"88,913","202,155","439,826 "
198,Grenada,139,,1 ,,129,,9,,"1,232",9,"18,314","162,335","112,816 "
199,British Virgin Islands,114,,1 ,,95,,18,,"3,757",33,"13,223","435,770","30,344 "
200,Dominica,113,, ,,105,,8,,"1,568",,"8,640","119,855","72,087 "
201,Fiji,55,,2 ,,53,,0,,61,2,"24,545","27,269","900,090 "
202,Timor-Leste,53,, ,,49,,4,,40,,"18,111","13,593","1,332,425 "
203,Macao,47,, ,,46,,1,,72,,"4,348","6,645","654,281 "
204,New Caledonia,44,, ,,43,,1,,153,,"19,879","69,256","287,036 "
205,Laos,41,, ,,41,,0,,6,,"99,318","13,541","7,334,520 "
206,Falkland Islands,35,, ,,29,,6,,"9,898",,"6,299","1,781,391","3,536 "
207,Saint Kitts and Nevis,35,, ,,33,,2,,655,,"6,470","121,138","53,410 "
208,Greenland,30,, ,,30,,0,,528,,"17,382","305,886","56,825 "
209,Vatican City,27,, ,,15,,12,,"33,666",,,,802 
210,Solomon Islands,17,, ,,10,,7,,24,,"4,500","6,463","696,226 "
211,Saint Pierre Miquelon,16,, ,,16,,0,,"2,769",,"3,344","578,747","5,778 "
212,Anguilla,15,, ,,15,,0,,995,,"6,449","427,709","15,078 "
213,Montserrat,13,,1 ,,12,,0,,"2,603",200,626,"125,350","4,994 "
214,Western Sahara,10,,1 ,,8,,1,,17,2,,,"605,484 "
215,MS Zaandam,9,,2 ,,7,,0,,,,,, 
216,Marshall Islands,4,, ,,4,,0,,67,,,,"59,414 "
217,Wallis and Futuna,4,, ,,4,,0,,359,,"1,149","103,262","11,127 "
218,Samoa,2,, ,,2,,0,,10,,,,"199,154 "
219,Micronesia,1,, ,,,,1,,9,,,,"115,698 "
220,Vanuatu,1,, ,,1,,0,,3,,470,"1,511","311,129 "
221,China,"88,911",+107,"4,635 ",,"82,526",+31,"1,750",85,62,3,"160,000,000","111,163","1,439,323,776 "
,Total:,"98,787,052","+67,682","2,117,366","+2,471","70,994,732","+80,973","25,674,954","111,185","12,673.5",271.6,,,
